MOTOR 1,,,,,,,
,,,,,,,
Condition,Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
,0.6505907,-0.884148,-1.654039,9.538987,9.721618,11.12339,241.873764
,0.6527379,-0.592224,-1.768894,9.696914,9.874707,10.888986,251.489517
,0.6548851,-0.506082,-1.649253,9.773484,9.924573,10.010366,252.941086
,0.6570322,-0.458226,-1.716252,9.48156,9.646526,10.61135,255.051178
,0.6591794,-0.362513,-1.74018,9.366704,9.533876,10.745377,258.232483
,0.6613265,-0.56351,-1.491327,9.720842,9.850704,9.313716,249.300522
,0.6634737,-0.290728,-1.840679,9.768699,9.944853,10.800098,261.024506
,0.6656209,-0.204586,-1.520041,9.869197,9.987663,8.83351,262.334473
,0.667768,-0.67358,-1.357329,9.610772,9.729491,8.959734,243.606918
,0.6699152,-0.333799,-1.721038,9.859626,10.014271,10.082214,259.023651
,0.6720623,-0.372084,-1.357329,9.826126,9.926407,8.15112,254.67012
,0.6742095,-0.879362,-1.094118,9.639486,9.741154,8.285175,231.210541
,0.6763567,-0.415155,-1.457827,10.357333,10.467663,8.326098,254.104294
,0.6785039,-0.697508,-0.792623,10.520044,10.572895,5.731213,228.652222
,0.680651,-0.774078,-0.835693,10.18505,10.248552,6.381531,227.191971
,0.6827982,-0.491725,-1.007977,10.352547,10.413118,6.182916,243.995316
,0.6849453,-0.697508,-0.854836,10.256834,10.316003,6.139545,230.787094
,0.6870925,-0.630509,-0.873978,10.677971,10.732215,5.763032,234.192429
,0.6892396,-0.778864,-1.14676,10.539187,10.629965,7.493236,235.816193
,0.6913868,-1.01336,-1.424328,9.840483,9.994534,10.072749,234.569458
,0.693534,-0.45344,-1.127618,9.826126,9.901004,7.050961,248.093857
,0.6956812,-0.309871,-1.027119,10.788041,10.841255,5.679236,253.212021
,0.6978284,-0.573081,-1.409971,9.672985,9.79199,8.941823,247.880768
,0.6999755,-0.37687,-1.563111,9.065208,9.206701,10.057976,256.44458
,0.7021226,-0.329013,-1.357329,9.59163,9.692779,8.284606,256.374451
,0.7042698,-0.697508,-1.802394,9.390633,9.587446,11.629457,248.84407
,0.706417,-0.53001,-2.199602,9.189635,9.464067,13.831542,256.452423
,0.7085641,-0.367298,-2.228316,9.060423,9.337643,13.996244,260.639984
,0.7107113,-0.553938,-2.520241,8.787642,9.158663,16.364326,257.603729
,0.7128584,-0.424726,-2.754737,8.845069,9.273846,17.490847,261.235138
,0.7150056,-0.199801,-2.654238,8.40479,8.8162,17.572678,265.695129
,0.7171528,-0.510868,-2.462813,8.548359,8.910717,16.395824,258.281189
,0.7193,-0.204586,-2.625525,9.046066,9.4216,16.231291,265.544403
,0.7214471,-0.774078,-2.103889,9.290133,9.556784,13.566492,249.800064
,0.7235942,-0.616152,-2.170888,9.390633,9.657969,13.512359,254.154739
,0.7257414,-0.290728,-2.041676,10.208978,10.415191,11.420391,261.895752
,0.7278886,-0.443869,-1.984248,9.85484,10.062412,11.657901,257.390747
,0.7300358,-1.267,-1.098904,9.404989,9.55336,10.111085,220.936005
,0.7321829,-0.71665,-1.472184,9.620343,9.758684,9.658992,244.043457
,0.7343301,-0.491725,-1.400399,10.18505,10.292626,8.291098,250.652191
,0.7364773,-0.56351,-1.079761,10.850254,10.918399,6.404717,242.440674
